#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2013.0041     17.94     19.14
2013.0068     18.97     17.59
2013.0096     24.40     22.23
2013.0123     17.84     23.51
2013.0151     18.99     23.40
2013.0178     17.45     22.90
2013.0205     16.89     19.34
2013.0233     19.47     20.81
2013.0260     17.91     18.97
2013.0288     18.46     17.93
2013.0315     19.45     20.64
2013.0342     17.26     19.33
2013.0370     18.36     19.33
2013.0397     15.21     17.10
2013.0425     19.14     18.02
2013.0452     18.68     19.58
2013.0479     16.20     16.11
2013.0507     22.25     23.04
2013.0534     20.89     21.35
2013.0562     19.66     20.22
2013.0589     19.15     20.55
2013.0616     19.68     20.24
2013.0644     18.09     19.41
2013.0671     18.10     20.76
2013.0699     18.26     19.10
2013.0726     21.50     22.29
2013.0753     17.90     19.55
2013.0781     16.83     21.37
2013.0808     15.74     19.61
2013.0836     19.05     18.25
2013.0863     18.41     18.18
2013.0890     19.12     18.16
2013.0918     16.72     17.27
2013.0945     18.36     16.36
2013.0973     18.83     20.29
2013.1000     23.52     20.34
2013.1027     22.88     21.91
2013.1055     19.33     22.33
2013.1082     23.76     20.83
2013.1110     24.06     21.36
2013.1137     20.67     21.77
2013.1164     17.29     20.25
2013.1192     18.16     23.18
2013.1219     24.75     24.00
2013.1247     22.44     20.66
2013.1274     23.30     18.23
2013.1301     11.88     18.75
2013.1329     22.46     24.54
2013.1356     20.08     19.96
2013.1384     20.31     17.48
2013.1411     20.25     20.10
2013.1438     18.84     19.12
2013.1466     19.85     20.82
2013.1493     19.37     18.06
2013.1521     17.45     21.57
2013.1548     20.05     21.87
2013.1575     21.54     17.27
2013.1603     22.40     18.55
2013.1630     17.74     19.57
2013.1658     21.35     21.72
2013.1685     22.03     23.90
2013.1712     18.82     17.47
2013.1740     19.57     19.70
2013.1767     18.10     17.04
2013.1795     18.58     20.54
2013.1822     16.19     20.71
2013.1849     16.80     20.46
2013.1877     17.06     22.74
2013.1904     18.34     23.02
2013.1932     17.09     19.65
2013.1959     18.58     19.80
2013.1986     15.60     18.01
2013.2014     23.63     23.70
2013.2041     17.82     22.61
2013.2068     21.90     21.27
2013.2096     21.06     19.41
2013.2123     16.61     15.40
2013.2151     16.64     17.20
2013.2178     18.27     23.72
2013.2205     19.47     19.02
2013.2233     19.08     18.86
2013.2260     12.61     15.32
2013.2288     21.74     21.29
2013.2315     20.20     21.98
2013.2342     21.67     23.02
2013.2370     19.55     18.20
2013.2397     20.74     19.00
2013.2425     22.03     19.14
2013.2452     24.31     22.90
2013.2479     19.84     21.99
2013.2507     16.34     15.63
2013.2534     25.57     27.77
2013.2562     24.04     22.83
