# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2011.6452    163961.22780    0.00836         17.1188    0.0000
2011.6479    163961.22763    0.00736         15.3260    0.0000
2011.6507    163961.22889    0.00807         16.8132    0.0000
2011.6534    163961.22635    0.00807         16.7063    0.0000
2011.6562    163961.23061    0.00881         18.2351    0.0000
2011.6589    163961.22866    0.00906         18.5123    0.0000
2011.6616    163961.22595    0.00907         18.7884    0.0000
2011.6644    163961.22998    0.01005         20.8568    0.0000
2011.6671    163961.22621    0.00994         20.4547    0.0000
2011.6699    163961.22913    0.00856         17.7606    0.0000
2011.6726    163961.22652    0.00949         19.7554    0.0000
2011.6753    163961.23026    0.00870         17.5866    0.0000
2011.6781    163961.22994    0.00878         18.4322    0.0000
2011.6808    163961.22816    0.00822         17.2691    0.0000
2011.6836    163961.23179    0.00790         16.3580    0.0000
2011.6863    163961.23077    0.00862         17.9369    0.0000
2011.6890    163961.23189    0.00835         17.2153    0.0000
2011.6918    163961.22916    0.00829         17.3025    0.0000
2011.6945    163961.23169    0.00831         17.3510    0.0000
2011.6973    163961.23061    0.00914         19.0722    0.0000
2011.7000    163961.23023    0.00873         18.2315    0.0000
2011.7027    163961.22836    0.00791         16.5016    0.0000
2011.7055    163961.22914    0.00798         16.6914    0.0000
2011.7082    163961.22957    0.00776         16.0354    0.0000
2011.7110    163961.22905    0.00808         16.6369    0.0000
2011.7137    163961.22948    0.00798         16.2653    0.0000
2011.7164    163961.23047    0.00811         16.9220    0.0000
2011.7192    163961.23149    0.00800         16.8790    0.0000
2011.7219    163961.22797    0.00820         16.8588    0.0000
2011.7247    163961.23017    0.00801         16.4837    0.0000
2011.7274    163961.23114    0.00795         16.4491    0.0000
2011.7301    163961.22950    0.00797         16.6641    0.0000
2011.7329    163961.22866    0.00827         17.2459    0.0000
2011.7356    163961.22754    0.00837         17.1710    0.0000
2011.7384    163961.22803    0.00810         17.0288    0.0000
2011.7411    163961.22792    0.00851         17.8844    0.0000
2011.7438    163961.22693    0.00839         17.3884    0.0000
2011.7466    163961.22874    0.00777         16.1447    0.0000
2011.7493    163961.23035    0.00909         18.9688    0.0000
2011.7521    163961.23078    0.00767         15.9924    0.0000
2011.7548    163961.22902    0.00773         16.1758    0.0000
2011.7575    163961.22810    0.00753         15.7062    0.0000
2011.7603    163961.22940    0.00804         16.7178    0.0000
2011.7630    163961.22828    0.00899         18.8503    0.0000
2011.7658    163961.22736    0.00898         19.0340    0.0000
2011.7685    163961.22947    0.00831         17.1781    0.0000
2011.7712    163961.23001    0.00842         17.3696    0.0000
2011.7740    163961.22736    0.00800         16.6945    0.0000
2011.7795    163961.22919    0.00851         17.7255    0.0000
2011.7822    163961.22786    0.00849         17.6579    0.0000
2011.7849    163961.22762    0.00828         17.0970    0.0000
2011.7877    163961.22509    0.00856         17.6502    0.0000
2011.7904    163961.22721    0.00846         17.5885    0.0000
2011.7931    163961.22847    0.00836         17.5771    0.0000
2011.7959    163961.22989    0.00762         15.8139    0.0000
2011.7986    163961.22847    0.00756         15.7694    0.0000
2011.8014    163961.22857    0.00740         15.1650    0.0000
2011.8041    163961.22861    0.00771         15.8573    0.0000
2011.8068    163961.22816    0.00845         17.5298    0.0000
2011.8096    163961.23292    0.00852         17.7876    0.0000
2011.8123    163961.23043    0.00764         15.9979    0.0000
2011.8151    163961.22914    0.00797         16.6509    0.0000
2011.8178    163961.22503    0.00829         17.0551    0.0000
2011.8205    163961.23114    0.00792         16.5899    0.0000
2011.8233    163961.22768    0.00777         16.3065    0.0000
2011.8260    163961.23002    0.00843         17.4293    0.0000
2011.8288    163961.22799    0.00754         15.6611    0.0000
2011.8315    163961.22832    0.00768         15.8718    0.0000
2011.8342    163961.22982    0.00797         16.4385    0.0000
2011.8370    163961.22842    0.00845         17.1806    0.0000
2011.8397    163961.22863    0.00782         16.2201    0.0000
2011.8425    163961.22963    0.00745         15.5470    0.0000
2011.8452    163961.22840    0.00733         15.3573    0.0000
2011.8479    163961.22714    0.00845         17.3072    0.0000
2011.8507    163961.22907    0.00808         16.6635    0.0000
2011.8534    163961.22955    0.00783         16.2150    0.0000
2011.8562    163961.23092    0.00736         15.3013    0.0000
2011.8589    163961.22912    0.00714         14.7940    0.0000
2011.8616    163961.22930    0.00717         15.0185    0.0000
2011.8644    163961.22937    0.00784         16.2205    0.0000
2011.8671    163961.22855    0.00736         15.4130    0.0000
2011.8699    163961.22646    0.00728         15.1564    0.0000
2011.8726    163961.22739    0.00749         15.5766    0.0000
2011.8753    163961.22712    0.00776         15.8748    0.0000
2011.8781    163961.22841    0.00727         15.2708    0.0000
2011.8808    163961.22940    0.00809         16.4689    0.0000
2011.8836    163961.22768    0.00758         15.6134    0.0000
2011.8863    163961.22904    0.00732         15.1618    0.0000
2011.8890    163961.22777    0.00710         14.6552    0.0000
2011.8918    163961.22789    0.00717         14.7704    0.0000
2011.8945    163961.22877    0.00703         14.7115    0.0000
2011.8973    163961.22658    0.00751         15.4709    0.0000
2011.9000    163961.22768    0.00724         14.8403    0.0000
2011.9027    163961.22837    0.00695         14.4415    0.0000
2011.9055    163961.22848    0.00704         14.6210    0.0000
2011.9082    163961.22964    0.00736         15.2366    0.0000
2011.9110    163961.22933    0.00691         14.3671    0.0000
2011.9137    163961.23053    0.00712         14.6384    0.0000
2011.9164    163961.22842    0.00705         14.6781    0.0000
2011.9192    163961.22931    0.00726         15.2579    0.0000
2011.9274    163961.22906    0.00853         17.6446    0.0000
2011.9301    163961.22953    0.00818         16.6959    0.0000
2011.9329    163961.22853    0.00735         15.2942    0.0000
2011.9356    163961.22775    0.00766         15.9140    0.0000
2011.9384    163961.22972    0.00730         15.2277    0.0000
2011.9411    163961.23418    0.00772         15.9432    0.0000
2011.9438    163961.23176    0.00798         16.6503    0.0000
2011.9466    163961.23017    0.00782         16.2405    0.0000
2011.9493    163961.22868    0.00715         14.8620    0.0000
2011.9521    163961.23072    0.00685         14.2175    0.0000
