#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.4699     1.61     2.12     3.6897     5.5733
2011.4726     3.98     1.51     3.7682     5.8321
2011.4753     -0.30     0.62     3.6709     5.6754
2011.4781     4.77     4.32     4.1382     6.4440
2011.4808     0.87     1.51     3.5303     5.4867
2011.4836     0.21     6.72     3.3051     5.0327
2011.4863     0.69     5.24     3.8897     5.8259
2011.4890     -0.36     5.74     3.2693     5.1550
2011.4918     1.07     -6.30     4.3472     6.7950
2011.4945     -0.22     1.88     4.0859     6.1620
2011.4973     0.01     2.27     3.4513     5.3059
2011.5055     0.11     3.70     3.0292     4.7402
2011.5082     -0.20     6.68     3.4428     5.2197
2011.5110     3.34     5.14     3.4622     5.3977
2011.5137     -0.15     5.71     3.8200     5.9515
2011.5164     0.71     1.89     3.3017     5.0326
2011.5192     1.51     3.36     3.8854     5.9024
2011.5219     3.88     4.83     3.6049     5.5236
2011.5247     -1.06     1.97     3.3022     5.0290
2011.5274     -3.75     0.18     4.1713     6.4255
2011.5301     -6.94     10.50     4.2595     6.6961
2011.5356     2.93     4.24     3.0285     4.7385
2011.5384     2.40     -0.34     3.2311     4.8623
2011.5411     4.17     2.70     3.5310     5.3380
2011.5438     1.34     7.38     3.7067     5.8933
2011.5466     1.45     2.37     3.6621     5.5874
2011.5493     2.13     2.21     3.9526     6.0528
2011.5521     6.57     6.31     5.4487     9.3089
2011.5548     2.99     6.01     4.2133     6.8539
2011.5575     1.20     5.21     3.9161     6.2242
2011.5603     2.66     -3.13     3.9158     6.3096
2011.5630     2.32     2.06     3.2575     5.1965
2011.5658     6.06     2.28     3.6881     5.8504
2011.5685     2.64     -1.22     4.3329     6.6361
2011.5740     4.83     0.19     4.9146     7.4983
2011.5767     2.09     -0.16     4.5968     6.8072
2011.5795     4.56     2.62     3.5217     5.3998
2011.5822     4.25     5.58     3.0374     4.8267
2011.5849     5.87     3.35     3.4892     5.6666
2011.5877     3.58     1.65     3.8197     5.8926
2011.5904     5.82     -0.15     3.4057     5.4052
2011.5932     7.31     5.70     3.6045     5.5235
2011.6014     8.82     -3.18     3.7589     5.7344
2011.6041     3.95     4.21     4.0058     5.9736
2011.6068     0.34     2.32     3.9416     5.8936
2011.6096     4.06     -0.38     3.8757     5.8722
2011.6123     2.88     1.06     3.6931     5.8529
2011.6151     3.08     0.73     3.7144     5.9711
2011.6178     6.97     4.93     7.0372     11.9109
2011.6205     5.11     0.23     3.5476     5.6641
2011.6233     4.18     4.44     3.5996     5.5812
2011.6260     3.11     2.02     3.3056     5.0388
2011.6288     4.85     2.24     3.4684     5.4834
2011.6397     8.33     3.22     3.4590     5.3925
2011.6425     7.61     5.30     3.6887     5.8618
2011.6452     5.29     0.76     3.2300     4.8548
2011.6479     6.50     3.53     3.4633     5.3220
2011.6507     2.04     8.85     3.7266     6.0923
2011.6534     9.57     2.25     3.6174     5.5250
2011.6562     8.61     4.46     3.7243     5.9256
2011.6589     9.03     4.92     3.7496     5.8562
2011.6616     6.78     -1.57     4.0492     6.3365
2011.6644     4.87     1.94     4.9616     7.6367
2011.6699     3.69     2.97     3.1531     4.7543
2011.6726     7.63     -2.29     3.4878     5.6547
2011.6753     5.93     2.91     3.5149     5.3181
2011.6781     3.52     -1.29     3.6813     5.6301
2011.6808     3.03     1.57     3.2573     5.1959
2011.6836     4.54     -0.67     3.7348     5.6854
2011.6863     3.55     5.05     3.8108     5.8601
2011.6890     7.24     5.86     4.3396     6.8743
2011.6918     2.04     -0.59     3.7501     5.6365
2011.6945     2.48     4.44     3.6296     5.8545
2011.6973     3.97     4.82     3.3402     5.3973
2011.7000     3.51     -0.02     3.6129     6.0084
2011.7027     2.61     -3.12     3.5057     5.6294
2011.7055     4.56     7.62     3.3216     5.2056
2011.7082     3.19     0.97     3.0585     5.0076
2011.7110     2.04     -1.13     3.5806     5.9383
