#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.9740     -0.09     -10.76     2.5949     2.0920
2011.9767     -1.19     -10.59     2.4267     1.9376
2011.9795     -1.40     -11.80     2.6999     2.1449
2011.9822     -1.95     -10.74     2.4537     1.9747
2011.9849     -2.43     -10.43     2.4974     1.9952
2011.9877     -2.05     -9.33     2.5681     2.0537
2011.9904     -1.65     -10.91     2.7216     2.1786
2011.9932     -1.99     -10.91     2.3318     1.8913
2011.9959     -1.14     -11.53     2.5047     1.9985
2011.9986     -2.13     -10.51     2.4484     1.9719
2012.0041     -2.05     -11.37     2.6133     2.1276
2012.0068     -3.46     -10.91     2.5247     2.0329
2012.0096     -1.72     -10.64     2.6215     2.0792
2012.0123     -2.80     -11.20     2.4774     1.9600
2012.0150     -2.59     -9.99     2.3080     1.8547
2012.0178     -2.26     -8.96     2.3809     1.9157
2012.0205     -2.76     -11.12     2.5464     2.0183
2012.0232     -1.85     -11.68     2.5273     1.9843
2012.0260     -2.55     -11.34     2.6914     2.1409
2012.0287     -2.12     -10.47     2.6623     2.1492
2012.0314     -2.21     -12.17     2.4020     1.9503
2012.0342     -0.41     -12.14     2.6900     2.1371
2012.0369     -3.22     -11.13     2.6183     2.0774
2012.0396     -2.10     -11.30     2.4301     1.9374
2012.0423     -3.87     -10.20     2.4810     1.9620
2012.0451     -2.39     -11.84     2.5466     2.0188
2012.0478     -6.15     -9.41     2.6658     2.1019
2012.0505     -2.00     -10.73     2.4983     1.9954
2012.0533     -3.22     -10.59     2.5948     2.0418
2012.0560     -1.44     -10.15     2.6879     2.1361
2012.0587     -2.94     -9.21     2.6173     2.0772
2012.0615     -0.87     -9.87     2.7588     2.1963
2012.0642     -2.84     -10.61     2.7651     2.2037
2012.0669     -1.37     -10.69     2.5791     2.0094
2012.0697     -2.53     -11.62     2.6170     2.0768
2012.0724     -2.42     -12.10     2.6694     2.1035
2012.0751     -2.62     -11.04     2.6168     2.0784
2012.0779     -3.89     -11.39     2.6179     2.0774
2012.0806     -1.72     -10.56     2.7758     2.1553
2012.0833     -2.20     -10.57     2.7311     2.1334
2012.0861     -2.77     -10.84     2.7009     2.0934
2012.0888     -2.16     -10.59     2.8564     2.2416
2012.0915     -2.66     -11.51     2.7656     2.1994
2012.0943     -2.42     -11.55     2.4768     1.9597
2012.0970     -0.57     -11.46     2.6239     2.0818
2012.0997     -1.99     -10.99     2.7355     2.1590
2012.1025     -1.61     -11.43     2.6902     2.1374
2012.1052     0.11     -12.07     2.8072     2.2196
