#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2015.4233     -2.45     -0.67     4.0008     5.9412
2015.4260     0.19     -3.00     3.9724     5.7967
2015.4288     -2.02     -2.01     3.7106     5.4575
2015.4315     -3.21     -0.45     3.4321     5.1283
2015.4342     -1.51     -2.72     3.7836     5.7000
2015.4370     0.97     -1.56     3.5065     5.2748
2015.4397     -2.87     -0.46     4.0002     5.9427
2015.4425     -2.32     -2.10     3.7068     5.6560
2015.4452     -1.74     -2.98     3.9475     5.9210
2015.4479     -2.80     -1.19     3.9639     5.7845
2015.4507     -2.60     -1.40     3.5394     5.2190
2015.4534     -2.39     0.88     3.1891     4.7469
2015.4562     -1.04     -1.62     3.5038     5.0676
