#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2015.4370     3.97     3.50     3.5065     5.2748
2015.4397     0.14     4.60     4.0002     5.9427
2015.4425     0.69     2.96     3.7068     5.6560
2015.4452     1.27     2.07     3.9475     5.9210
2015.4479     0.22     3.85     3.9639     5.7845
2015.4507     0.42     3.65     3.5394     5.2190
2015.4534     0.63     5.92     3.1891     4.7469
2015.4562     1.98     3.41     3.5038     5.0676
2015.4589     1.89     0.28     3.8576     5.5448
2015.4616     -0.11     5.26     3.6837     5.4101
2015.4644     1.90     3.06     3.3313     4.7303
2015.4671     2.78     0.33     3.4382     5.1079
2015.4699     0.00     5.82     3.6832     5.4070
2015.4726     0.64     5.92     3.5429     5.2214
2015.4753     -0.22     4.98     3.6837     5.4104
2015.4781     -0.54     4.93     3.8203     5.5952
2015.4808     -1.08     5.72     3.2316     4.6407
2015.4836     1.32     6.21     3.7572     5.5085
2015.4863     1.18     3.21     3.7095     5.4916
2015.4890     -4.18     5.29     3.7686     5.5224
2015.4918     -0.88     5.24     3.8897     5.5788
2015.4945     -1.37     1.69     3.5431     5.2215
2015.4973     2.48     3.37     3.6664     5.3382
2015.5000     1.93     3.60     3.4345     4.9730
2015.5027     0.21     4.79     3.6099     5.2522
2015.5055     2.35     2.84     3.0644     4.4249
2015.5082     1.65     2.34     3.4403     4.9801
2015.5110     0.82     5.82     3.5612     5.2962
2015.5137     -2.36     4.16     4.6171     6.6808
2015.5164     -0.12     2.25     3.7808     5.5256
2015.5192     1.27     4.43     3.7259     5.4623
2015.5219     2.63     2.73     3.8919     5.6906
2015.5247     2.20     2.69     3.7524     5.5051
2015.5274     -0.96     4.65     3.9493     5.6972
2015.5301     0.63     7.15     4.0597     5.9013
2015.5329     -0.86     6.36     3.5358     5.1629
2015.5356     1.23     2.87     3.5056     5.0688
2015.5384     1.09     -2.11     3.6650     5.3365
